iter	Passed	Remaining
0	193	193653
1	195	97750
2	197	65739
3	202	50309
4	204	40647
5	206	34137
6	207	29475
7	210	26108
8	214	23663
9	217	21547
10	218	19684
11	220	18115
12	221	16796
13	222	15663
14	223	14693
15	226	13959
16	230	13306
17	232	12664
18	233	12060
19	234	11504
20	236	11018
21	237	10547
22	238	10111
23	239	9750
24	241	9429
25	243	9118
26	244	8818
27	245	8525
28	246	8252
29	247	8002
30	248	7763
31	249	7537
32	249	7323
33	251	7131
34	252	6949
35	252	6771
36	259	6742
37	261	6608
38	262	6472
39	263	6326
40	264	6189
41	265	6054
42	266	5925
43	267	5803
44	269	5709
45	270	5602
46	271	5514
47	273	5426
48	274	5329
49	275	5236
50	276	5152
51	277	5063
52	278	4976
53	279	4890
54	279	4809
55	282	4757
56	284	4699
57	285	4639
58	286	4576
59	288	4513
60	289	4451
61	290	4388
62	290	4327
63	292	4282
64	294	4231
65	297	4212
66	299	4173
67	300	4120
68	301	4068
69	302	4017
70	303	3973
71	305	3931
72	306	3888
73	307	3844
74	308	3810
75	309	3766
76	310	3723
77	311	3682
78	312	3643
79	313	3605
80	314	3567
81	315	3532
82	316	3491
83	319	3479
84	321	3465
85	324	3449
86	325	3416
87	326	3383
88	327	3351
89	328	3321
90	329	3292
91	330	3262
92	331	3233
93	332	3204
94	333	3175
95	334	3146
96	341	3182
97	343	3157
98	344	3133
99	345	3107
100	350	3123
101	353	3108
102	354	3085
103	355	3064
104	357	3048
105	359	3032
106	360	3008
107	361	2983
108	361	2958
109	362	2934
110	363	2910
111	364	2887
112	364	2863
113	365	2840
114	366	2818
115	366	2796
116	368	2780
117	371	2774
118	373	2764
119	374	2748
120	375	2729
121	376	2708
122	377	2691
123	378	2673
124	379	2655
125	380	2636
126	380	2617
127	381	2599
128	382	2581
129	386	2584
130	387	2570
131	388	2554
132	389	2537
133	390	2521
134	391	2506
135	391	2490
136	392	2474
137	393	2458
138	394	2442
139	395	2426
140	395	2411
141	396	2394
142	396	2379
143	400	2379
144	401	2368
145	403	2361
146	404	2347
147	405	2334
148	406	2321
149	407	2307
150	408	2294
151	409	2283
152	410	2270
153	410	2257
154	411	2243
155	414	2243
156	415	2232
157	417	2224
158	418	2213
159	419	2201
160	420	2188
161	420	2177
162	421	2164
163	422	2152
164	423	2140
165	423	2128
166	424	2116
167	425	2105
168	425	2093
169	427	2086
170	429	2080
171	431	2075
172	432	2066
173	433	2056
174	434	2047
175	435	2038
176	436	2028
177	437	2018
178	438	2009
179	439	2000
180	439	1990
181	441	1986
182	444	1982
183	445	1974
184	446	1965
185	447	1956
186	448	1948
187	449	1941
188	450	1932
189	451	1923
190	451	1913
191	452	1904
192	453	1895
193	454	1889
194	456	1885
195	458	1882
196	459	1874
197	460	1865
198	461	1857
199	462	1851
200	463	1843
201	464	1834
202	465	1826
203	465	1817
204	466	1809
205	467	1800
206	467	1792
207	470	1791
208	471	1785
209	473	1782
210	474	1774
211	475	1767
212	476	1760
213	477	1752
214	477	1745
215	478	1737
216	479	1730
217	480	1722
218	480	1714
219	481	1706
220	482	1699
221	483	1694
222	485	1692
223	488	1691
224	489	1686
225	490	1680
226	491	1674
227	493	1669
228	494	1666
229	496	1663
230	500	1665
231	501	1660
232	502	1655
233	504	1650
234	505	1644
235	506	1639
236	507	1633
237	508	1626
238	508	1620
239	511	1618
240	512	1613
241	514	1612
242	515	1606
243	517	1602
244	518	1597
245	520	1595
246	521	1589
247	522	1583
248	522	1576
249	523	1571
250	524	1565
251	525	1559
252	526	1553
253	526	1546
254	527	1540
255	530	1541
256	531	1537
257	533	1533
258	534	1528
259	534	1522
260	535	1517
261	536	1511
262	537	1505
263	537	1499
264	538	1493
265	539	1488
266	540	1484
267	542	1481
268	544	1479
269	545	1475
270	546	1470
271	547	1464
272	548	1459
273	549	1455
274	550	1450
275	550	1444
276	551	1439
277	552	1433
278	552	1428
279	553	1423
280	555	1422
281	557	1419
282	558	1415
283	560	1411
284	560	1407
285	561	1402
286	562	1398
287	563	1393
288	564	1388
289	565	1383
290	565	1378
291	566	1373
292	567	1368
293	567	1363
294	569	1361
295	572	1360
296	574	1358
297	575	1354
298	575	1350
299	576	1345
300	577	1341
301	578	1337
302	579	1332
303	580	1328
304	580	1323
305	581	1318
306	582	1314
307	582	1309
308	583	1304
309	586	1305
310	587	1302
311	589	1299
312	589	1294
313	590	1290
314	591	1286
315	592	1282
316	593	1278
317	594	1274
318	595	1270
319	595	1265
320	596	1261
321	597	1257
322	598	1254
323	601	1254
324	602	1252
325	604	1249
326	605	1245
327	605	1241
328	606	1237
329	607	1234
